id,avgspeed,cars
174,55.0,1
276,46.0,1
373,41.0,1
438,141.0,1
743,52.0,1
830,66.0,1
857,5.0,2
953,47.0,1
958,49.0,1
967,2.0,1
1044,28.0,1
1052,2.0,1
1068,8.0,1
1149,41.0,1
1151,42.0,1
1153,31.0,1
1197,28.0,1
1242,131.0,1
1253,25.0,1
1282,89.0,1
1347,26.0,1
1354,28.0,1
1355,17.0,1
1365,55.0,1
1395,78.0,1
1456,38.0,1
1647,84.0,1
1667,26.0,1
1754,48.0,2
1792,46.0,1
1844,102.0,1
1891,38.0,1
1942,84.0,1
1954,65.0,1
1967,46.0,1
1990,38.0,1
2038,5.0,1
2144,31.0,1
2246,46.0,1
2286,9.0,1
2347,15.0,1
2392,71.0,1
2406,76.0,1
2446,76.0,1
2455,52.0,1
2609,62.0,1
2655,57.0,2
2665,46.0,1
2684,39.0,1
2724,42.0,1
2765,54.0,1
2848,102.0,1
2856,17.0,1
2887,12.0,1
2924,49.0,1
3049,87.0,1
3055,39.0,1
3064,46.0,1
3081,67.0,2
3256,36.0,1
3262,55.0,1
3295,94.0,1
3322,52.0,1
3329,55.0,1
3353,4.0,1
3356,31.0,1
3379,44.0,1
3398,86.0,1
3412,14.0,1
3431,1.0,2
3454,13.0,1
3478,46.0,1
3497,38.0,1
3522,99.0,1
3525,33.0,2
3526,38.0,1
3557,35.0,2
3577,76.0,1
3581,73.0,1
3585,87.0,1
3628,68.0,1
3632,23.0,1
3670,2.0,1
3676,66.0,1
3746,73.0,1
3748,1.0,2
3755,42.0,1
3764,39.0,1
3765,49.0,1
3768,39.0,1
3774,47.0,1
3832,44.0,1
3839,28.0,1
3843,29.0,1
3848,15.0,5
3856,13.0,4
3858,46.0,1
3859,14.0,3
3863,15.0,1
3866,65.0,1
3870,38.0,1
3927,38.0,1
3947,22.0,3
3956,36.0,1
4035,51.0,2
4038,46.0,1
4045,36.0,1
4063,54.0,1
4069,19.0,1
4128,18.0,1
4143,54.0,1
4146,50.0,1
4152,33.0,1
4154,36.0,1
4162,1.0,0
4173,42.0,1
4237,41.0,2
4245,54.0,1
4250,38.0,2
4262,31.0,1
4267,38.0,1
4283,91.0,2
4309,49.0,1
4329,38.0,1
4335,58.0,1
4336,14.0,2
4345,8.0,1
4358,23.0,1
4383,94.0,1
4436,56.0,2
4438,44.0,1
4446,47.0,1
4459,1.0,0
4467,42.0,1
4471,5.0,1
4507,58.0,1
4513,65.0,1
4528,66.0,1
4535,52.0,1
4544,46.0,1
4546,46.0,1
4548,25.0,1
4559,5.0,1
4560,39.0,1
4570,21.0,1
4627,33.0,1
4635,23.0,1
4639,31.0,1
4647,52.0,1
4720,34.0,1
4728,23.0,1
4735,60.0,1
4736,28.0,1
4740,68.0,1
4747,17.0,2
4754,28.0,1
4757,12.0,1
4768,32.0,2
4769,23.0,1
4771,15.0,2
4782,52.0,1
4822,92.0,1
4854,10.0,1
4855,17.0,1
4856,20.0,2
4866,15.0,1
4869,14.0,2
4933,42.0,1
4935,50.0,1
4936,4.0,1
4937,23.0,1
4946,52.0,1
4948,36.0,1
4949,38.0,1
4952,46.0,1
4965,4.0,1
4971,35.0,2
4976,21.0,1
4980,105.0,1
5018,12.0,1
5026,14.0,1
5035,58.0,1
5051,42.0,1
5067,28.0,1
5069,50.0,1
5125,10.0,2
5142,39.0,1
5146,29.0,1
5234,47.0,1
5242,21.0,2
5249,2.0,1
5252,4.0,1
5255,46.0,1
5265,32.0,2
5267,4.0,1
5269,17.0,3
5271,10.0,1
5273,29.0,2
5277,13.0,1
5341,12.0,1
5342,5.0,1
5348,4.0,1
5349,42.0,1
5353,28.0,1
5365,4.0,1
5369,2.0,1
5373,4.0,1
5375,18.0,1
5378,33.0,1
5402,49.0,1
5423,94.0,1
5449,2.0,1
5470,25.0,1
5482,49.0,1
5523,92.0,1
5569,48.0,2
5665,42.0,1
5669,38.0,1
5671,21.0,2
5678,25.0,1
5679,17.0,1
5695,34.0,1
5718,5.0,5
5753,47.0,1
5754,44.0,1
5756,44.0,1
5766,2.0,1
5769,36.0,1
5775,29.0,1
5780,60.0,1
5826,49.0,1
5840,32.0,2
5841,78.0,1
5847,15.0,2
5858,26.0,1
5859,57.0,1
5860,2.0,1
5861,1.0,4
5871,29.0,1
5873,23.0,1
5875,2.0,1
5942,66.0,1
5944,39.0,1
5948,5.0,1
5951,18.0,1
5957,13.0,2
